employee_id,starting_point_id,max_shifts_per_day,min_shift_duration,min_shifts_per_day,max_shift_duration,min_duration_per_day,max_duration_per_day,min_duration_per_week,max_duration_per_week,min_break_duration
528741,25022,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
529775,25022,2,2 hours,None,5 hours,None,8 hours,10 hours,35 hours,1 hour
588786,25033,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
588788,25022,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
609242,25022,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
612034,25022,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
793925,25022,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
794619,25033,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
824420,25033,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
826572,25022,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
850620,25022,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
853000,25022,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
857458,25033,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
864204,25033,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
879106,25033,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
894160,25033,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
896996,25022,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
900483,25033,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
902484,25033,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
919899,25022,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
931873,25022,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
983559,25033,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
992690,25033,2,3 hours,None,4 hours,None,8 hours,10 hours,35 hours,1 hour
